Label X1 X2 VisualPr_1 VisualPr_2 VisualPr_3 VisualPr_4 VisualPr_5 CNS_1 CNS_2 CNS_3 CNS_4 CNS_5 Ect.Epi_1 Ect.Epi_2 Ect.Epi_3 Ect.Epi_4 Ect.Epi_5 SalGl_1 SalGl_2 SalGl_3 SalGl_4 SalGl_5 Tracheal_1 Tracheal_2 Tracheal_3 Tracheal_4 Tracheal_5 FoGut_1 FoGut_2 FoGut_3 FoGut_4 FoGut_5 SNS_1 SNS_2 SNS_3 SNS_4 SNS_5 Endo.Midgut_1 Endo.Midgut_2 Endo.Midgut_3 Endo.Midgut_4 Endo.Midgut_5 HiGut_1 HiGut_2 HiGut_3 HiGut_4 HiGut_5 Meso.Muscle_1 Meso.Muscle_2 Meso.Muscle_3 Meso.Muscle_4 Meso.Muscle_5 Endocrine.Heart_1 Endocrine.Heart_2 Endocrine.Heart_3 Endocrine.Heart_4 Endocrine.Heart_5 Blood.Fat_1 Blood.Fat_2 Blood.Fat_3 Blood.Fat_4 Blood.Fat_5 Pole.Germ.cell_1 Pole.Germ.cell_2 Pole.Germ.cell_3 Pole.Germ.cell_4 Pole.Germ.cell_5 Extraemb_1 Extraemb_2 Extraemb_3 Extraemb_4 Extraemb_5 imagPR_1 imagPR_2 imagPR_3 imagPR_4 imagPR_5 PNS_1 PNS_2 PNS_3 PNS_4 PNS_5 Yes_1 No_1 Partial_1
A3-3 11.5 4.33012701892219 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
AP-2 2 3.46410161513775 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0
ATbp 8 5.19615242270663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Abd-B 4.5 2.59807621135332 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Ada2b 11.5 6.06217782649107 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Adf1 6 6.92820323027551 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Aef1 10.5 2.59807621135332 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Antp 2.5 0.866025403784439 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Atf6 9.5 4.33012701892219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Awh 14 10.3923048454133 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
